43,44,2014-01,Beca 18 Huallaga,Huallaga,Becas Huallaga,300,2,,07/11/2013,07/02/2014,07/11/2013,05/05/2014,07/11/2013,19/03/2014,,25,RDE N° 264-2013-MINEDU-VMGI-OBEC-PRONABEC,,14/04/2026 14:01:22
44,45,2014-01,Beca de la Amistad Peruano Ecuatoriana,Beca Peru Ecuador ,Beca Amistad Ecuador - Perú,50,1,31/12/2013,13/11/2013,18/02/2014,13/11/2013,17/02/2014,13/11/2013,17/02/2014,29,40,RDE N° 218-2013-MINEDU-VMGI-OBEC-PRONABEC,,14/04/2026 14:01:22
45,46,2014   ,Beca 18 Modalidad Ordinaria,Modalidad Ordinaria,Beca Ordinario,7000,1,31/12/2013,25/11/2013,28/04/2014,25/11/2013,29/08/2014,25/11/2013,16/04/2014,10,22,RDE N° 289-2013-MINEDU-VMGI-OBEC-PRONABEC,,14/04/2026 14:01:22
46,47,2014-01,Beca DES verano e invierno 2014,Beca Docente Nacional,Beca Docente,260,1,31/12/2013,16/12/2013,13/01/2014,26/12/2013,30/12/2013,16/12/2013,15/01/2014,,60,RDE N° 282-2013-MINEDU-VMGI-OBEC-PRONABEC,,14/04/2026 14:01:22
47,48,2014-01,Beca Especializacion en Pedagogía de verano 2014 - Nacional,Beca Docente Nacional,Beca Docente,1800,1,31/12/2013,23/12/2013,21/01/2014,02/01/2014,09/01/2014,23/12/2013,11/01/2014,,60,RDE N° 291-2013-MINEDU-VMGI-OBEC-PRONABEC,,14/04/2026 14:01:22
48,49,2014-01,Beca Especializacion en Pedagogía de verano 2014 - Internacional,Beca Docente Internacional,Beca Docente,320,1,31/12/2013,15/12/2013,25/12/2013,20/12/2013,26/12/2013,15/12/2013,30/12/2013,,60,RDE N° 291-2013-MINEDU-VMGI-OBEC-PRONABEC,,14/04/2026 14:01:22
49,50,2014-01,Beca Especial Reparaciones en Educación,Repared,Beca Reparaciones,200,2,,10/12/2013,13/02/2014,14/02/2014,15/05/2014,10/12/2013,31/03/2014,,,RDE N° 306-2013-MINEDU-VMGI-OBEC-PRONABEC,,14/04/2026 14:01:22
50,51,2014-01,Beca 18 Modalidad Ordinaria - Comunidades Nativas Amazonicas,Comunidades Nativas,Becas CNA,200,1,31/12/2013,25/11/2013,15/02/2014,25/11/2013,13/08/2014,13/11/2013,22/02/2014,15,22,RDE N° 289-2013-MINEDU-VMGI-OBEC-PRONABEC,,14/04/2026 14:01:22
51,52,2014-01,Beca Perú - Cajamarca,Beca Peru,Beca Peru,200,1,,13/01/2014,10/02/2014,11/02/2014,22/02/2014,13/01/2014,24/02/2014,16,45,RDE N° 011-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
52,6,2013-01,Beca Alianza del Pacífico,Beca Alianza del Pacifico ,Beca Alianza del Pacífico,,1,,06/03/2013,06/03/2013,06/03/2013,06/03/2013,06/03/2013,06/03/2013,,,,14/04/2026 14:01:22
53,7,2013-02,Beca Alianza del Pacífico,Beca Alianza del Pacifico ,Beca Alianza del Pacífico,,1,,11/07/2013,11/07/2013,11/07/2013,11/07/2013,11/07/2013,11/07/2013,,,RDE N° 116-2013-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
54,59,       ,,,,1,2,13/04/2014,13/04/2012,13/04/2012,13/04/2012,13/04/2012,13/04/2012,13/04/2012,0,99,RDE N° 228-2019-MINEDU-VMGI-PRONABEC,14/04/2026 14:01:22
55,60,2013   ,Beca 18 Modalidad Becas Especiales EIB (traspaso),Educación Intercultural Bilingüe,Becas EIB,180,1,31/12/2013,01/04/2014,01/04/2014,01/04/2014,01/04/2014,01/04/2014,01/04/2014,,23,RDE N° 102-2014-MINEDU-VMGI-OBEC-PRONABEC,14/04/2026 14:01:22
56,61,       ,,,,0,2,01/05/2014,01/05/2014,01/05/2014,01/05/2014,01/05/2014,01/05/2014,01/05/2014,0,99,,14/04/2026 14:01:22
57,65,2014-03,Presidente de la República,Beca Generación del Bicentenario (anteriormente denominada Beca Presidente de la República),Becas Postgrado Extranjero,600,1,31/12/2014,05/08/2014,26/12/2014,25/10/2014,21/02/2015,05/08/2014,02/02/2015,0,36,RDE N° 265-2014-MINEDU-VMGI-OBEC-PRONABEC - RDE N° 365,14/04/2026 14:01:22
