43,Beca para Poblaciones Vulnerables y en Situaciones Especiales de Formación Técnico Productiva 2015   ,AYACUCHO,Becarios declarados nulos,,2016-01,2014-10,Instituto de Educación Superior,CENTRO DE FORMACION EN TURISMO - CENFOTUR,SEDE AYACUCHO,ORFEBRERIA -JOYERO BASICO,FEMENINO,14/04/2026 14:01:19
44,Beca para casos Sociales o de Necesidad o de Extrema Urgencia 2015   ,LIMA,Becarios declarados nulos,,,2015-10,Instituto de Educación Superior,IES PRIVADO CENTRO PERUANO DE ESTUDIOS BANCARIOS - CEPEBAN,SEDE LINCE,ADMINISTRACION BANCARIA,MASCULINO,14/04/2026 14:01:19
45,Beca Presidente de la República 2019   ,REINO UNIDO,Becarios declarados nulos,,,2019-05,Universidad,UNIVERSITY COLLEGE LONDON,SEDE LONDRES,DOCTORADO EN INGENIERIA CIVIL, AMBIENTAL Y GEOMATICA,MASCULINO,14/04/2026 14:01:19
46,Beca de Continuidad de Estudios 2020   ,ICA,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,IES PRIVADO INSTITUTO PERUANO DE ADMINISTRACION DE EMPRESAS - IPAE,SEDE ICA,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,MASCULINO,14/04/2026 14:01:19
47,Beca de Continuidad de Estudios 2020   ,LIMA,Becarios declarados nulos,,,2020-06,Instituto de Educación Superior,IES PRIVADO TOULOUSE LAUTREC,SEDE SANTIAGO DE SURCO,DISEÑO GRAFICO,MASCULINO,14/04/2026 14:01:19
48,Beca 18 Modalidad Ordinaria 2012   ,SAN MARTIN,Becarios declarados nulos,,2014-05,2012-04,Universidad,UNIVERSIDAD NACIONAL DE SAN MARTIN,SEDE TARAPOTO,INGENIERIA DE SISTEMAS E INFORMATICA,FEMENINO,14/04/2026 14:01:19
49,Beca Perú (Lima - Callao) 2014-02,LIMA,Becarios declarados nulos,,,2014-07,Instituto de Educación Superior,IES PRIVADO PERUANO DE SISTEMAS SISE,SEDE CERCADO DE LIMA,ADMINISTRACION DE NEGOCIOS,MASCULINO,14/04/2026 14:01:19
50,Beca de Continuidad de Estudios 2020   ,AREQUIPA,Becarios declarados nulos,,,2020-07,Instituto de Educación Superior,IES PRIVADO TECSUP N° 2,SEDE JOSE LUIS BUSTAMANTE Y RIVERO,GESTION Y MANTENIMIENTO DE MAQUINARIA PESADA,MASCULINO,14/04/2026 14:01:19
51,Beca Perú 2017-01,LIMA,Becarios declarados nulos,,,2017-01,Instituto de Educación Superior,ARTE, NEGOCIOS Y TECNOLOGIA - ESANTEC,SEDE LIMA,DIRECCION Y DISEÑO GRAFICO,FEMENINO,14/04/2026 14:01:19
52,Beca Especial FFAA 2014-02,ANCASH,Becarios declarados nulos,,,2014-07,Instituto de Educación Superior,SERVICIO NACIONAL DE ADIESTRAMIENTO EN TRABAJO INDUSTRIAL - SENATI,SEDE HUARAZ (CFP Huaraz),SOLDADOR DE ESTRUCTURAS,MASCULINO,14/04/2026 14:01:19
